Model Year,Mfr Name,Division,Carline,Verify Mfr Cd,Index (Model Type Index),City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel,City Unrd Adj FE - Conventional Fuel,Hwy Unrd Adj FE - Conventional Fuel,Comb Unrd Adj FE - Conventional Fuel
2019,Toyota,LEXUS,RC 300,TYX,59,26.8282,43.5915,32.4423,21.127,30.407,24.4904
2019,Toyota,LEXUS,RC 300 AWD,TYX,47,23.9385,36.0044,28.1896,18,24,21.4965
2019,Toyota,LEXUS,RC 350,TYX,48,25,39.8,30.0241,19.8039,27.9986,22.8079
2019,Toyota,LEXUS,RC 350 AWD,TYX,49,23.9385,36.0044,28.1896,18,24,21.4965
2019,Toyota,LEXUS,RC F,TYX,26,20.7,34.8,25.3158,16,25,19
2019,Maserati,MASERATI,GRANTURISMO CONVERTIBLE,MAX,25,16.2,28,19.9912,13.2097,20.2334,15.6552
2019,Mercedes-Benz,Mercedes-Benz,AMG E53 4MATIC+ (Convertible),MBX,141,25.7,36.8,29.7362,20.3124,26.0636,22.5517
2019,Mercedes-Benz,Mercedes-Benz,AMG E53 4MATIC+ (Coupe),MBX,133,26.3,39.2,30.8717,20.7463,27.6137,23.3607
2019,Mercedes-Benz,Mercedes-Benz,AMG S 63 4MATIC (convertible),MBX,325,18.4,33.8,23.1455,14.8943,24.1023,17.9865
2019,Mercedes-Benz,Mercedes-Benz,C 300 (convertible),MBX,128,26.7,41.2,31.7243,21.0347,28.8926,23.9681
2019,Mercedes-Benz,Mercedes-Benz,C 300 (Coupe),MBX,118,27.4,44,33.003,21.5376,30.6641,24.8683
2019,Mercedes-Benz,Mercedes-Benz,C 300 4MATIC (convertible),MBX,127,26.3,41.8,31.5676,20.7463,29.2741,23.8762
2019,Mercedes-Benz,Mercedes-Benz,C 300 4MATIC (Coupe),MBX,119,27.4,43.8,32.9522,21.5376,30.5383,24.8309
2019,Mercedes-Benz,Mercedes-Benz,E 450 (convertible),MBX,143,25.1,38.9,29.8682,19.8767,27.4208,22.6853
2019,Mercedes-Benz,Mercedes-Benz,E 450 (coupe),MBX,134,25.1,40.1,30.1802,19.8767,28.1906,22.9182
2019,Mercedes-Benz,Mercedes-Benz,E 450 4MATIC (convertible),MBX,144,24.1,37.1,28.6115,19.1468,26.2583,21.8041
